ï»¿Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira;semestre;Regiao - Sigla
;RJ;PETROPOLIS;BR CORONEL VEIGA COMBUSTIVEIS LTDA; 10.514.757/0001-57;RUA CORONEL VEIGA;687;;CORONEL VEIGA;25655-156;ETANOL;29/08/2021;5,699;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
SE;SP;RIBEIRAO PIRES;AUTO POSTO SULIMAR LTDA; 49.537.707/0001-20;RUA FRANCISCO TOMETICH;3200;;PONTE SECA;09412-190;DIESEL S10;10/05/2021;4,599;;R$ / litro;BRANCA;1º semestre;
;MG;UBERLANDIA;URSA MAIOR DERIVADOS DE PETROLEO LTDA; 07.586.114/0001-04;AVENIDA AFONSO PENA;1111;;APARECIDA;38400-706;GASOLINA ADITIVADA;24/08/2021;6,299;;R$ / litro;IPIRANGA;2º semestre;SE
S;RS;CAXIAS DO SUL;PETROPARQUE COMERCIO DE COMBUSTIVEIS E DERIVADOS LTDA; 17.376.243/0002-02;AVENIDA DOUTOR MARIO LOPES;768;;NOSSA SENHORA DE FATIMA;95043-240;ETANOL;10/05/2021;5,498;;R$ / litro;RODOIL;1º semestre;
;RS;NOVO HAMBURGO;FARGO COMERCIAL DE COMBUSTIVEIS LTDA; 30.064.681/0001-12;AVENIDA PEDRO ADAMS FILHO;1555;;RONDONIA;93320-395;DIESEL;16/09/2021;4,299;;R$ / litro;BRANCA;2º semestre;S
SE;SP;SOROCABA;AUTO POSTO 2400 LTDA; 59.541.383/0001-58;AVENIDA GENERAL CARNEIRO;2400;;CERRADO;18043-004;DIESEL;11/05/2021;4,499;;R$ / litro;IPIRANGA;1º semestre;
;CE;JUAZEIRO DO NORTE;MG DERIVADOS DE PETROLEO LTDA; 03.225.783/0001-08;AVENIDA AILTON GOMES;875;;PIRAJA;63020-000;DIESEL S10;01/09/2021;5,17;;R$ / litro;VIBRA ENERGIA;2º semestre;NE
SE;SP;SUMARE;POSTO SEIS DE JULHO LTDA; 55.386.106/0001-67;AVENIDA MINASA;887;;DO MATAO;13180-400;GASOLINA;12/04/2021;5,199;;R$ / litro;IPIRANGA;1º semestre;
;ES;ARACRUZ;AUTO POSTO DE COMBUSTIVEL SAO JOSE LTDA; 34.309.213/0001-11;RUA ANJO RAPHAEL;29;;GUAXINDIBA;29194-791;DIESEL;15/09/2021;4,54;;R$ / litro;BRANCA;2º semestre;SE
;SP;MOGI GUACU;AUTO POSTO NIGÉRIA LTDA; 65.733.545/0001-52;AVENIDA EMILIA MARCHI MARTINI;1826;;CHACARA NOVA ODESSA;13840-090;GASOLINA;27/10/2021;6,299;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
S;SC;ITAJAI;POLI GNV COMERCIAL LTDA; 08.048.193/0001-62;AVENIDA TEPORTI;100;;CORDEIROS;88311-460;ETANOL;20/06/2021;4,995;;R$ / litro;ALESAT;1º semestre;
;SP;JUNDIAI;AUTO POSTO ROBERTAO LTDA; 48.822.076/0001-29;AVENIDA 14 DE DEZEMBRO;925;;VILA RAMI;13206-010;GASOLINA ADITIVADA;20/10/2021;6,099;;R$ / litro;IPIRANGA;2º semestre;SE
